,brand,model,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,audio_jack,bluetooth,GPS,NFC,radio,battery,approx_price_EUR,img_url,GSM,LTE,DualSim,NumberOfCores,li-ion,li-po,AMOLED,([^\w]|\b)OLED,TFT,LCD,Android,Windows,iOS
0,Acer,Iconia Tab A701,HSPA 21.1/5.76 Mbps,Yes,Yes,2012,259.8 x 175 x 10.9 mm (10.23 x 6.89 x 0.43 in),667.0,Mini-SIM,LCD capacitive touchscreen  16M colors,10.1 inches (~65.1% screen-to-body ratio),1920 x 1200 pixels (~224 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Quad-core 1.3 GHz Cortex-A9,Nvidia Tegra 3,ULP GeForce,microSD  up to 32 GB (dedicated slot),16/32/64 GB,1 GB RAM,5 MP| autofocus| LED flash,Yes,Yes,Yes,Yes,,No,Non-removable Li-Po 9800 mAh battery (36 Wh),380.0,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a700.jpg,GSM,,,4,,Yes,,,,LCD,Yes,,
1,Icemobile,Rock Mini,,Yes,,2012,103.2 x 45.2 x 14.5 mm (4.06 x 1.78 x 0.57 in),46.0,Dual SIM (Mini-SIM),TFT,1.8 inches (~21.9% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,1.3 MP,No,No,Yes,,,Stereo FM radio,Removable Li-Ion 700 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-mini.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2,BLU,Swing,,Yes,,2011,84 x 42 x 17.5 mm (3.31 x 1.65 x 0.69 in),47.0,Mini-SIM,TFT  65K colors,1.77 inches (~27.9% screen-to-body ratio),176 x 220 pixels (~159 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),128 MB ROM,64 MB RAM,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 560 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/blu-swing.jpg,GSM,,,1,Yes,,,,TFT,,,,
3,VK Mobile,VK2100,,Yes,,2005,93 x 49 x 9.3 mm (3.66 x 1.93 x 0.37 in),48.0,Mini-SIM,OLED  256K colors,,128 x 160 pixels,,,,,No,2 GB,,,,No,Yes,,,No,Removable Li-Ion 790 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2100.gif,GSM,,,1,Yes,,,OLED,,,,,
4,VK Mobile,VK2000,,Yes,,2005,89.9 x 49.9 x 8.8 mm (3.54 x 1.96 x 0.35 in),48.0,Mini-SIM,STN  65K colors,,128 x 143 pixels,,,,,No,,,,,No,Yes,,,No,Removable Li-Po (VKST-2000),,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2000.gif,GSM,,,1,,Yes,,,,,,,
5,VK Mobile,VK2010,,Yes,,2005,90 x 50 x 8.8 mm (3.54 x 1.97 x 0.35 in),50.0,Mini-SIM,OLED  256K colors,,128 x 160 pixels,,,,,No,64/128 MB,,,,No,Yes,,,No,Removable Li-Ion 790 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2010.gif,GSM,,,1,Yes,,,OLED,,,,,
6,Philips,X100,,Yes,,2010,112.8 x 43.8 x 14.9 mm (4.44 x 1.72 x 0.59 in),52.7,Dual SIM (Mini-SIM),TFT  256K colors,1.8 inches (~20.6% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,,,No,Yes,,,Stereo FM radio| RDS,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/philips-x100.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
7,Philips,193,,Yes,,2008,104.5 x 45.5 x 12.8 mm (4.11 x 1.79 x 0.50 in),53.0,Mini-SIM,CSTN  65K colors,1.47 inches (~14.7% screen-to-body ratio),128 x 128 pixels (~123 ppi pixel density),,,,,No,,,,,No,Yes,,,FM radio,Removable Li-Ion 650 mAh battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/philips-193.jpg,GSM,,,1,Yes,,,,,,,,
8,VK Mobile,VK2020,,Yes,,2006,95 x 47 x 8.8 mm (3.74 x 1.85 x 0.35 in),53.0,Mini-SIM,OLED  256K colors,,128 x 160 pixels,,,,,No,64 MB,,,,No,Yes,,,No,Removable Li-Ion battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2020.gif,GSM,,,1,Yes,,,OLED,,,,,
9,BLU,Tattoo Mini,,Yes,,2011,99 x 55 x 13 mm (3.90 x 2.17 x 0.51 in),54.0,Mini-SIM,TFT  256K colors,2.0 inches (~23.1% screen-to-body ratio),220 x 176 pixels (~141 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),64 MB ROM,32 MB RAM,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 750 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/blu-tattoo-mini.jpg,GSM,,,1,Yes,,,,TFT,,,,
10,Samsung,U100,,Yes,Yes,2007,105.5 x 50 x 5.9 mm (4.15 x 1.97 x 0.23 in),57.0,Mini-SIM,TFT  256K colors,1.93 inches (~22.2% screen-to-body ratio),220 x 176 pixels (~146 ppi pixel density),,,,,No,70 MB,,3.15 MP,No,No,Yes,,,No,Removable Li-Ion 690 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-u100.gif,GSM,,,1,Yes,,,,TFT,,,,
11,Toshiba,G450,HSPA 3.6/0.384 Mbps,Yes,Yes,2008,98 x 36 x 16 mm (3.86 x 1.42 x 0.63 in),57.0,Mini-SIM,Monochrome graphics,,96 x 39 pixels,,ARM 9,Qualcomm MSM6280,,No,160 MB,,,,No,Yes,,,No,Removable Li-Ion 600 mAh battery,130.0,http://cdn2.gsmarena.com/vv/bigpic/toshiba-g450.jpg,GSM,,,1,Yes,,,,,,,,
12,Icemobile,Sol,,Yes,,2011,96.2 x 52 x 13.2 mm (3.79 x 2.05 x 0.52 in),59.0,Dual SIM (Mini-SIM),TFT resistive touchscreen  65K colors,2.4 inches (~35.7% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 850 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-sol.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
13,Kyocera,S1600,,Yes,,2008,104 x 48 x 11.5 mm (4.09 x 1.89 x 0.45 in),59.0,Mini-SIM,CSTN  65K colors,1.5 inches (~14.5% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,VGA,No,No,Yes,,,No,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/kyocera-s1600.jpg,GSM,,,1,Yes,,,,,,,,
14,alcatel,OT-216,,Yes,,2010,106 x 46 x 14.5 mm (4.17 x 1.81 x 0.57 in),60.0,Mini-SIM,CSTN  65K colors,1.5 inches (~14.9% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-216.jpg,GSM,,,1,Yes,,,,,,,,
15,LG,MG160,,Yes,,2007,98 x 45 x 12.9 mm (3.86 x 1.77 x 0.51 in),60.0,Mini-SIM,CSTN   65K colors,1.5 inches (~16.5% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,,,No,Yes,,,No,Removable Li-Ion battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/lg-mg160.jpg,GSM,,,1,Yes,,,,,,,,
16,Micromax,X231,,Yes,,2012,120.5 x 50.2 x 10.9 mm (4.74 x 1.98 x 0.43 in),61.7,Dual SIM (Mini-SIM),TFT  256K colors,2.4 inches (~29.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-x231.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
17,Amoi,A310,,Yes,,2006,91.9 x 41.8 x 14.9 mm (3.62 x 1.65 x 0.59 in),62.0,Mini-SIM,CSTN  65K colors,1.5 inches (~18.9% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,5 MB,,,,No,Yes,,,FM radio (Optional),Removable Li-Ion 720 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a310.gif,GSM,,,1,Yes,,,,,,,,
18,Samsung,M300,,Yes,,2007,80 x 40 x 16.7 mm (3.15 x 1.57 x 0.66 in),63.0,Mini-SIM,TFT  65K colors,1.6 inches (~25.2% screen-to-body ratio),128 x 160 pixels (~128 ppi pixel density),,,,,No,600 KB,,VGA,No,No,Yes,,,FM radio,Removable Li-Ion 700 mAh battery,60.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-m300.gif,GSM,,,1,Yes,,,,TFT,,,,
19,Samsung,E1085T,,Yes,Yes,2009,107.4 x 45.5 x 13.6 mm (4.23 x 1.79 x 0.54 in),64.5,Mini-SIM,CSTN  65K colors,1.43 inches (~13.5% screen-to-body ratio),128 x 128 pixels (~127 ppi pixel density),,,,,No,1 MB,,,,No,Yes,,,Stereo FM radio| RDS,Removable Li-Ion 800 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1085t.jpg,GSM,,,1,Yes,,,,,,,,
20,Samsung,E1080T,,Yes,Yes,2009,107.4 x 45.5 x 13.6 mm (4.23 x 1.79 x 0.54 in),64.5,Mini-SIM,CSTN  65K colors,1.43 inches (~13.5% screen-to-body ratio),128 x 128 pixels (~127 ppi pixel density),,,,,No,1 MB,,,,No,Yes,,,No,Removable Li-Ion 800 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1080t.jpg,GSM,,,1,Yes,,,,,,,,
21,Haier,P7,,Yes,,2004,150 x 27 x 18.2 mm (5.91 x 1.06 x 0.72 in),65.0,Mini-SIM,TFT  65K colors,,64 x 128 pixels,,,,,No,3 MB,,VGA,No,No,Yes,,,No,Removable Li-Ion 600 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/hap7.gif,GSM,,,1,Yes,,,,TFT,,,,
22,Icemobile,Sol II,,Yes,,2012,101 x 55.6 x 12.6 mm (3.98 x 2.19 x 0.50 in),65.0,Dual SIM (Mini-SIM),TFT resistive touchscreen  65K colors,2.8 inches (~43.2% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-sol2.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
